nimi,gml_id,kunta,vuosi,namn,name,municipality_name_fi,municipality_name_sv,municipality_name_en,kuntaryhmitys_code,kuntaryhmitys_name_fi,kuntaryhmitys_name_sv,kuntaryhmitys_name_en,avi_code,avi_name_fi,avi_name_sv,avi_name_en,ely_code,ely_name_fi,ely_name_sv,ely_name_en,maakunta_code,maakunta_name_fi,maakunta_name_sv,maakunta_name_en,kielisuhde_code,kielisuhde_name_fi,kielisuhde_name_sv,kielisuhde_name_en,seutukunta_code,seutukunta_name_fi,seutukunta_name_sv,seutukunta_name_en,year,suuralue_code,suuralue_name_fi,suuralue_name_sv,suuralue_name_en,sairaanhoitop_code,sairaanhoitop_name_fi,sairaanhoitop_name_sv,sairaanhoitop_name_en,nuts1_code,nuts1_name_fi,nuts1_name_sv,nuts1_name_en,nuts2_code,nuts2_name_fi,nuts2_name_sv,nuts2_name_en,nuts3_code,nuts3_name_fi,nuts3_name_sv,nuts3_name_en,vaalipiiri_code,vaalipiiri_name_fi,vaalipiiri_name_sv,vaalipiiri_name_en,hyvinvointialue_code,hyvinvointialue_name_fi,hyvinvointialue_name_sv,hyvinvointialue_name_en,municipality_code,kunta_name,name_fi,name_sv,erva_code,erva_name_fi,erva_name_sv,erva_name_en,kela_vakuutuspiiri_name_fi,kela_vakuutuspiiri_code,kela_vakuutuspiiri_name_sv,kela_vakuutuspiiri_name_en,kela_asumistukialue_name_fi,kela_asumistukialue_code,kela_asumistukialue_name_sv,kela_asumistukialue_name_en,pienituloisuusaste,mokit_lkm,lights_mean
Äänekoski,kunta4500k_2022.309,"992","2022",Äänekoski,Äänekoski,Äänekoski,Äänekoski,Äänekoski,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"10",Keski-Suomen ELY-keskus,NTM-centralen i Mellersta Finland,Central Finland ELY Centre,"13",Keski-Suomi,Mellersta Finland,Central Finland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"135",Äänekoski,Äänekoski,Äänekoski,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"14",Keski-Suomen SHP,Mellersta Finlands SVD,Central Finland Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI193,Keski-Suomi,Mellersta Finland,Central Finland,"11",Keski-Suomen vaalipiiri,Mellersta Finlands valkrets,Central Finland constituency,"15",Keski-Suomen hyvinvointialue,Mellersta Finlands välfärdsområde,Central Finland wellbeing services county,"992",Äänekoski,Äänekoski,Äänekoski,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,15.8,"2510",5.20164211315986
Ähtäri,kunta4500k_2022.308,"989","2022",Etseri,Ähtäri,Ähtäri,Etseri,Ähtäri,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"11",Etelä-Pohjanmaan ELY-keskus,NTM-centralen i Södra Österbotten,South Ostrobothnia ELY Centre,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"144",Kuusiokunnat,Kuusiokunnat,Kuusiokunnat,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"15",Etelä-Pohjanmaan SHP,Syd-Österbottens SVD,South Ostrobothnia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI194,Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"10",Vaasan vaalipiiri,Vasa valkrets,Vaasa constituency,"16",Etelä-Pohjanmaan hyvinvointialue,Södra Österbottens välfärdsområde,South Ostrobothnia wellbeing services county,"989",Ähtäri,Ähtäri,Etseri,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,14.7,"1318",4.08957421402388
Akaa,kunta4500k_2022.7,"20","2022",Ackas,Akaa,Akaa,Ackas,Akaa,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"5",Pirkanmaan ELY-keskus,NTM-centralen i Birkaland,Pirkanmaa ELY Centre,"6",Pirkanmaa,Birkaland,Pirkanmaa,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"63",Etelä-Pirkanmaa,Södra Birkaland,Etelä-Pirkanmaa,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"6",Pirkanmaan SHP,Birkalands SVD,Pirkanmaa Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI197,Pirkanmaa,Birkaland,Pirkanmaa,"7",Pirkanmaan vaalipiiri,Birkalands valkrets,Pirkanmaa constituency,"8",Pirkanmaan hyvinvointialue,Birkalands välfärdsområde,Pirkanmaa wellbeing services county,"20",Akaa,Akaa,Ackas,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,11.7,"812",6.11775296178994
Alajärvi,kunta4500k_2022.1,"5","2022",Alajärvi,Alajärvi,Alajärvi,Alajärvi,Alajärvi,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"11",Etelä-Pohjanmaan ELY-keskus,NTM-centralen i Södra Österbotten,South Ostrobothnia ELY Centre,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"146",Järviseutu,Järviseutu,Järviseutu,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"15",Etelä-Pohjanmaan SHP,Syd-Österbottens SVD,South Ostrobothnia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI194,Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"10",Vaasan vaalipiiri,Vasa valkrets,Vaasa constituency,"16",Etelä-Pohjanmaan hyvinvointialue,Södra Österbottens välfärdsområde,South Ostrobothnia wellbeing services county,"5",Alajärvi,Alajärvi,Alajärvi,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,15.8,"1298",4.99718018070333
Alavieska,kunta4500k_2022.2,"9","2022",Alavieska,Alavieska,Alavieska,Alavieska,Alavieska,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"5",Pohjois-Suomen AVI,Norra Finlands RFV,Northern Finland AVI,"13",Pohjois-Pohjanmaan ELY-keskus,NTM-centralen i Norra Österbotten,North Ostrobothnia ELY Centre,"17",Pohjois-Pohjanmaa,Norra Österbotten,North Ostrobothnia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"177",Ylivieska,Ylivieska,Ylivieska,2022,"4",Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,"18",Pohjois-Pohjanmaan SHP,Norra Österbottens SVD,North Ostrobothnia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1D,Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,FI1D9,Pohjois-Pohjanmaa,Norra Österbotten,North Ostrobothnia,"12",Oulun vaalipiiri,Uleåborgs valkrets,Oulu constituency,"19",Pohjois-Pohjanmaan hyvinvointialue,Norra Österbottens välfärdsområde,North Ostrobothnia wellbeing services county,"9",Alavieska,Alavieska,Alavieska,"5",Oulun yliopistollisen sairaalan erityisvastuualue,Uleåborgs universitetssjukhus specialupptagningsområdet,Oulu University Hospital specific catchment area,Pohjoinen vakuutuspiiri,5,Norra försäkringsdistriktet,Northern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,16.9,"70",5.41656217662566
Alavus,kunta4500k_2022.3,"10","2022",Alavo,Alavus,Alavus,Alavo,Alavus,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"11",Etelä-Pohjanmaan ELY-keskus,NTM-centralen i Södra Österbotten,South Ostrobothnia ELY Centre,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"144",Kuusiokunnat,Kuusiokunnat,Kuusiokunnat,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"15",Etelä-Pohjanmaan SHP,Syd-Österbottens SVD,South Ostrobothnia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI194,Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"10",Vaasan vaalipiiri,Vasa valkrets,Vaasa constituency,"16",Etelä-Pohjanmaan hyvinvointialue,Södra Österbottens välfärdsområde,South Ostrobothnia wellbeing services county,"10",Alavus,Alavus,Alavo,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,16.5,"2001",4.27021036328564
Asikkala,kunta4500k_2022.4,"16","2022",Asikkala,Asikkala,Asikkala,Asikkala,Asikkala,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"1",Etelä-Suomen AVI,Södra Finlands RFV,Southern Finland AVI,"4",Hämeen ELY-keskus,NTM-centralen i Tavastland,Häme ELY Centre,"7",Päijät-Häme,Päijänne-Tavastland,Päijät-Häme,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"71",Lahti,Lahtis,Lahti,2022,"2",Etelä-Suomi,Södra Finland,Southern Finland,"7",Päijät-Hämeen SHP,Päijät-Häme SVD,Päijät-Häme Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1C,Etelä-Suomi,Södra Finland,Southern Finland,FI1C3,Päijät-Häme,Päijänne – Tavastland,Päijät-Häme,"6",Hämeen vaalipiiri,Tavastlands valkrets,Häme constituency,"9",Päijät-Hämeen hyvinvointialue,Päijänne-Tavastlands välfärdsområde,Päijät-Häme wellbeing services county,"16",Asikkala,Asikkala,Asikkala,"1",Helsingin yliopistollisen keskussairaalan erityisvastuualue,Helsingfors universitetscentralsjukhus specialupptagningsområdet,Helsinki University Hospital specific catchment area,Eteläinen vakuutuspiiri,1,Södra försäkringsdistriktet,Southern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,13.6,"4037",2.40828738574785
Askola,kunta4500k_2022.5,"18","2022",Askola,Askola,Askola,Askola,Askola,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"1",Etelä-Suomen AVI,Södra Finlands RFV,Southern Finland AVI,"1",Uudenmaan ELY-keskus,NTM-centralen i Nyland,Uusimaa ELY Centre,"1",Uusimaa,Nyland,Uusimaa,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"15",Porvoo,Borgå,Porvoo,2022,"1",Helsinki-Uusimaa,Helsingfors - Nyland,Helsinki-Uusimaa,"25",Helsingin ja Uudenmaan SHP,Helsingfors och Nylands SVD,Helsinki and Uusimaa Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1B,Helsinki-Uusimaa,Helsingfors-Nyland,Helsinki-Uusimaa,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,Helsinki-Uusimaa,"2",Uudenmaan vaalipiiri,Nylands valkrets,Uusimaa constituency,"1",Itä-Uudenmaan hyvinvointialue,Östra Nylands välfärdsområde,East Uusimaa wellbeing services county,"18",Askola,Askola,Askola,"1",Helsingin yliopistollisen keskussairaalan erityisvastuualue,Helsingfors universitetscentralsjukhus specialupptagningsområdet,Helsinki University Hospital specific catchment area,Eteläinen vakuutuspiiri,1,Södra försäkringsdistriktet,Southern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,8.7,"580",1.53403402019191
Aura,kunta4500k_2022.6,"19","2022",Aura,Aura,Aura,Aura,Aura,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"2",Lounais-Suomen AVI,Sydvästra Finlands RFV,Southwestern Finland AVI,"2",Varsinais-Suomen ELY-keskus,NTM-centralen i Egentliga Finland,Southwest Finland ELY Centre,"2",Varsinais-Suomi,Egentliga Finland,Southwest Finland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"25",Loimaa,Loimaa,Loimaa,2022,"2",Etelä-Suomi,Södra Finland,Southern Finland,"3",Varsinais-Suomen SHP,Egentliga Finlands SVD,Southwest Finland Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1C,Etelä-Suomi,Södra Finland,Southern Finland,FI1C1,Varsinais-Suomi,Egentliga Finland,Southwest Finland,"3",Varsinais-Suomen vaalipiiri,Egentliga Finlands valkrets,Varsinais-Suomi constituency,"5",Varsinais-Suomen hyvinvointialue,Egentliga Finlands välfärdsområde,Southwest Finland wellbeing services county,"19",Aura,Aura,Aura,"2",Turun yliopistollisen sairaalan erityisvastuualue,Åbo universitetssjukhus specialupptagningsområdet,Turku University Hospital specific catchment area,Läntinen vakuutuspiiri,2,Västra försäkringsdistriktet,Western Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,9.3,"84",2.73662975671826
Brändö,kunta4500k_2022.8,"35","2022",Brändö,Brändö,Brändö,Brändö,Brändö,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"7",Ahvenanmaan valtionvirasto,Statens ämbetsverk på Åland,State Department of Åland,"16",Ahvenanmaa,Åland,Åland,"21",Ahvenanmaa,Åland,Åland,"2",Yksikielinen ruotsinkielinen kunta,Enspråkig svensk kommun,Monolingual Swedish-speaking municipality,"213",Ålands skärgård,Ålands skärgård,Ålands skärgård,2022,"5",Ahvenanmaa,Åland,Åland,"0",Ahvenanmaa,Åland,Åland,FI2,ÅLAND,ÅLAND,ÅLAND,FI20,Åland,Åland,Åland,FI200,Åland,Åland,Åland,"5",Ahvenanmaan maakunnan vaalipiiri,Landskapet Ålands valkrets,Åland constituency,"91",Ahvenanmaa,Åland,Åland,"35",Brändö,Brändö,Brändö,"6",Ahvenanmaa,Åland,Åland,Läntinen vakuutuspiiri,2,Västra försäkringsdistriktet,Western Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,14.3,"313",0.656106777635275
