Alue,Vuosi,Kesämökkejä (lkm)
KOKO MAA,1970,176104
KOKO MAA,1980,251744
KOKO MAA,1990,367686
KOKO MAA,1995,416236
KOKO MAA,2000,450569
KOKO MAA,2005,474277
KOKO MAA,2010,489232
KOKO MAA,2015,501596
KOKO MAA,2020,508289
KOKO MAA,2021,508919
KOKO MAA,2022,509652
Akaa,1970,346
Akaa,1980,480
Akaa,1990,764
Akaa,1995,798
Akaa,2000,842
Akaa,2005,865
Akaa,2010,859
Akaa,2015,870
Akaa,2020,811
Akaa,2021,813
Akaa,2022,812
Alajärvi,1970,347
Alajärvi,1980,578
Alajärvi,1990,917
Alajärvi,1995,1017
Alajärvi,2000,1070
Alajärvi,2005,1161
Alajärvi,2010,1253
Alajärvi,2015,1329
Alajärvi,2020,1299
Alajärvi,2021,1297
Alajärvi,2022,1298
Alavieska,1970,5
Alavieska,1980,17
Alavieska,1990,50
Alavieska,1995,70
Alavieska,2000,79
Alavieska,2005,86
Alavieska,2010,91
Alavieska,2015,98
Alavieska,2020,73
Alavieska,2021,72
Alavieska,2022,70
Alavus,1970,764
Alavus,1980,1023
Alavus,1990,1468
Alavus,1995,1589
Alavus,2000,1790
Alavus,2005,1806
Alavus,2010,1904
Alavus,2015,2035
Alavus,2020,2000
Alavus,2021,1997
Alavus,2022,2001
Asikkala,1970,1765
Asikkala,1980,2227
Asikkala,1990,2709
Asikkala,1995,3108
Asikkala,2000,3678
Asikkala,2005,3748
Asikkala,2010,3956
Asikkala,2015,4066
Asikkala,2020,4406
Asikkala,2021,4044
Asikkala,2022,4037
Askola,1970,226
Askola,1980,253
Askola,1990,489
Askola,1995,531
Askola,2000,528
Askola,2005,545
Askola,2010,560
Askola,2015,579
Askola,2020,572
Askola,2021,577
Askola,2022,580
Aura,1970,41
Aura,1980,51
Aura,1990,71
Aura,1995,81
Aura,2000,85
Aura,2005,78
Aura,2010,89
Aura,2015,90
Aura,2020,84
Aura,2021,85
Aura,2022,84
Brändö,1970,45
Brändö,1980,110
Brändö,1990,156
Brändö,1995,200
Brändö,2000,226
Brändö,2005,237
Brändö,2010,256
Brändö,2015,264
Brändö,2020,311
Brändö,2021,312
Brändö,2022,313
Eckerö,1970,89
Eckerö,1980,347
Eckerö,1990,341
Eckerö,1995,368
Eckerö,2000,428
Eckerö,2005,445
Eckerö,2010,474
Eckerö,2015,496
Eckerö,2020,788
Eckerö,2021,766
Eckerö,2022,794
Enonkoski,1970,122
Enonkoski,1980,298
Enonkoski,1990,549
Enonkoski,1995,622
Enonkoski,2000,651
Enonkoski,2005,698
Enonkoski,2010,700
Enonkoski,2015,764
Enonkoski,2020,755
Enonkoski,2021,751
Enonkoski,2022,758
Enontekiö,1970,107
Enontekiö,1980,213
Enontekiö,1990,359
Enontekiö,1995,516
Enontekiö,2000,596
Enontekiö,2005,845
Enontekiö,2010,943
Enontekiö,2015,1007
Enontekiö,2020,1557
Enontekiö,2021,1566
Enontekiö,2022,1588
Espoo,1970,3869
Espoo,1980,2462
Espoo,1990,2195
Espoo,1995,2391
Espoo,2000,1978
Espoo,2005,1662
Espoo,2010,1615
Espoo,2015,1636
Espoo,2020,1690
Espoo,2021,1697
Espoo,2022,1742
