Alue,Vuosi,"Asuntoväestö, henkilöä","Asuntoväestö, lapsia",Pienituloisten henkilöiden lukumäärä (raja 60 % mediaanista),Pienituloisten lasten lukumäärä asuntoväestössä,Asuntoväestön pienituloisuusaste (raja 60 % mediaanista),Asuntoväestöön kuuluvien lasten pienituloisuusaste,Pitkittyneesti pienituloisten henkilöiden lukumäärä (raja 60 % mediaanista),Pitkittyneesti pienituloisten lasten lukumäärä asuntoväestössä,Pitkittyneesti pienituloisten henkilöiden osuus (raja 60 % mediaanista),Pitkittyneesti pienituloisten lasten osuus asuntoväestössä
KOKO MAA,1995,5040600,,398988,,7.9,,,,,
KOKO MAA,1996,5041451,,442914,,8.8,,,,,
KOKO MAA,1997,5053929,,493319,,9.8,,,,,
KOKO MAA,1998,5063690,,536571,,10.6,,230282,,4.5,
KOKO MAA,1999,5073947,,571191,,11.3,,266694,,5.3,
KOKO MAA,2000,5081354,,612620,,12.1,,297984,,5.9,
KOKO MAA,2001,5094986,,623146,,12.2,,325547,,6.4,
KOKO MAA,2002,5106299,,628984,,12.3,,350589,,6.9,
KOKO MAA,2003,5118759,,658244,,12.9,,369401,,7.2,
KOKO MAA,2004,5133130,,702127,,13.7,,386424,,7.5,
KOKO MAA,2005,5153727,,723550,,14,,404455,,7.8,
KOKO MAA,2006,5172922,,751421,,14.5,,433273,,8.4,
KOKO MAA,2007,5195414,,780656,,15,,454287,,8.7,
KOKO MAA,2008,5219284,,776867,,14.9,,469873,,9,
KOKO MAA,2009,5242156,,776958,,14.8,,476934,,9.1,
KOKO MAA,2010,5264580,1073322,751092,137493,14.3,12.8,468976,,8.9,
KOKO MAA,2011,5282429,1070339,760332,138643,14.4,13,468852,,8.9,
KOKO MAA,2012,5308485,1067260,724316,130948,13.6,12.3,451774,,8.5,
KOKO MAA,2013,5331783,1065140,705067,128904,13.2,12.1,435352,61913,8.2,5.8
KOKO MAA,2014,5351173,1064186,694464,128536,13,12.1,423023,60212,7.9,5.7
KOKO MAA,2015,5363637,1061140,682576,125019,12.7,11.8,411414,57957,7.7,5.5
KOKO MAA,2016,5377099,1059430,682369,123453,12.7,11.7,404020,56680,7.5,5.4
KOKO MAA,2017,5385972,1053753,689857,123850,12.8,11.8,398408,55354,7.4,5.3
KOKO MAA,2018,5390540,1045343,704145,127202,13.1,12.2,403055,55666,7.5,5.3
KOKO MAA,2019,5399397,1036177,721114,128105,13.4,12.4,415830,57339,7.7,5.5
KOKO MAA,2020,5411922,1029134,678789,114263,12.5,11.1,407051,53041,7.5,5.2
KOKO MAA,2021,5428508,1022200,718658,121798,13.2,11.9,421577,54946,7.8,5.4
KOKO MAA,2022,5443431,1012996,730770,118880,13.4,11.7,425910,53234,7.8,5.3
Akaa,1995,15765,,1331,,8.4,,,,,
Akaa,1996,15692,,1399,,8.9,,,,,
Akaa,1997,15618,,1657,,10.6,,,,,
Akaa,1998,15647,,1855,,11.9,,794,,5.1,
Akaa,1999,15745,,1900,,12.1,,964,,6.1,
Akaa,2000,15716,,2009,,12.8,,1096,,7,
Akaa,2001,15763,,1993,,12.6,,1196,,7.6,
Akaa,2002,15849,,1895,,12,,1165,,7.4,
Akaa,2003,15991,,2043,,12.8,,1192,,7.5,
Akaa,2004,16017,,2130,,13.3,,1213,,7.6,
Akaa,2005,16082,,2129,,13.2,,1270,,7.9,
Akaa,2006,16254,,2234,,13.7,,1323,,8.1,
Akaa,2007,16427,,2256,,13.7,,1418,,8.6,
Akaa,2008,16526,,2282,,13.8,,1433,,8.7,
Akaa,2009,16565,,2205,,13.3,,1394,,8.4,
Akaa,2010,16705,3811,2161,412,12.9,10.8,1403,,8.4,
Akaa,2011,16751,3791,2141,392,12.8,10.3,1393,,8.3,
Akaa,2012,16796,3775,1972,335,11.7,8.9,1339,,8,
Akaa,2013,16786,3778,1859,323,11.1,8.5,1233,136,7.3,3.6
Akaa,2014,16727,3740,1818,343,10.9,9.2,1216,151,7.3,4
Akaa,2015,16706,3699,1841,341,11,9.2,1135,145,6.8,3.9
Akaa,2016,16602,3649,1946,374,11.7,10.2,1186,165,7.1,4.5
Akaa,2017,16442,3568,1888,336,11.5,9.4,1161,143,7.1,4
Akaa,2018,16277,3513,1938,351,11.9,10,1206,164,7.4,4.7
Akaa,2019,16135,3428,2057,376,12.7,11,1267,188,7.9,5.5
Akaa,2020,16052,3324,1858,340,11.6,10.2,1225,177,7.6,5.3
Akaa,2021,16143,3307,1990,353,12.3,10.7,1306,182,8.1,5.5
Akaa,2022,16110,3220,1881,297,11.7,9.2,1313,172,8.2,5.3
Alajärvi,1995,11744,,1356,,11.5,,,,,
Alajärvi,1996,11703,,1458,,12.5,,,,,
Alajärvi,1997,11623,,1513,,13,,,,,
